identifier;name;bio;admission;resignation;birth_date;zip_code;andress;andress_number;district;email;phone;cpf;role;cost_center;gender;photo;unity;user
74; Thomas de Andrade;Um funcionário muito competente ...;28/04/2008 00:00;;12/03/1965;51276-315;RUA GOIAS ;391;Jardim Rosa 72;agoraeuvodetona2@yahoo.com;26464122766;63648507863;Web Master;1;Masculino;;1;173
75; Rodrigo Campos;Um funcionário muito competente ...;06/04/2013 00:00;;02/05/1958;19318-490;RUA CEARA ;967;Jardim Rosa 73;agoraeuvodetona2@yahoo.com;26464122766;44012561083;Web Master;1;Masculino;;1;174
76; Davi Miguel Sántos;Um funcionário muito competente ...;14/09/2016 00:00;;03/03/1973;15184-666;RUA 10 ;107;Jardim Rosa 74;agricesar@yahoo.com.br;26464122766;44625642757;Web Master;1;Masculino;;1;175
77; André de Melo;Um funcionário muito competente ...;08/06/2018 00:00;;02/12/1987;36232-765;RUA BELO HORIZONTE ;233;Jardim Rosa 75;agricesar@yahoo.com.br;26464122766;42531292144;Web Master;1;Masculino;;1;176
78; Fernando da Cruz;Um funcionário muito competente ...;08/04/2001 00:00;;04/07/1969;59907-261;RUA DAS FLORES ;795;Jardim Rosa 76;agricesar@yahoo.com.br;26464122766;86358856095;Web Master;1;Masculino;;1;177
79; Alexandre Reis;Um funcionário muito competente ...;29/05/2020 00:00;;05/10/1966;40642-850;RUA SERGIPE ;738;Jardim Rosa 77;aguia_fenix@hotmail.com;26464122766;65896490644;Web Master;1;Masculino;;1;178
80; Pedro Lucas Guimaraes;Um funcionário muito competente ...;29/08/2005 00:00;;03/09/1985;49825-080;RUA VITORIA ;433;Jardim Rosa 78;aguinaldo4789@hotmail.com;26464122766;35431808088;Web Master;1;Masculino;;1;179
81; Breno Moraes;Um funcionário muito competente ...;29/04/2017 00:00;;29/05/1996;86625-771;RUA JOSE BONIFACIO ;994;Jardim Rosa 79;aguinaldo4789@hotmail.com;26464122766;62031415236;Web Master;1;Masculino;;1;180
82; Arthur Miguel do Carmo;Um funcionário muito competente ...;26/04/2017 00:00;;18/02/1985;30963-890;RUA PERNAMBUCO ;493;Jardim Rosa 80;aguinaldo4789@hotmail.com;26464122766;49359151203;Web Master;1;Masculino;;1;181
83; Carlos Eduardo dos Reis;Um funcionário muito competente ...;08/11/2017 00:00;;02/05/1982;81428-529;RUA PIAUI ;304;Jardim Rosa 81;ai_@hotmail.com;26464122766;16094870149;Web Master;1;Masculino;;1;182
84; Kaique Viana;Um funcionário muito competente ...;06/06/2016 00:00;;17/07/1964;85324-862;RUA VINTE E TRES ;949;Jardim Rosa 82;Aiacos.Kyoto@gmail.com;26464122766;76771320006;Web Master;1;Masculino;;1;183
85; Yago de Castro;Um funcionário muito competente ...;22/09/2017 00:00;;20/12/1975;88478-413;RUA 9 ;171;Jardim Rosa 83;aim.vip2@hotmail.com;26464122766;37726358399;Web Master;1;Masculino;;1;184
86; Kauê Silveira;Um funcionário muito competente ...;18/11/2014 00:00;;25/10/1990;23224-158;RUA MATO GROSSO ;996;Jardim Rosa 84;aim.vip25@hotmail.com;26464122766;31662942306;Web Master;1;Masculino;;1;185
87; Luan Moura;Um funcionário muito competente ...;23/01/2013 00:00;;28/03/1978;61644-772;RUA SANTA MARIA ;718;Jardim Rosa 85;aiopam@hotmail.com;26464122766;54561431042;Web Master;1;Masculino;;1;186
88; Igor Brito;Um funcionário muito competente ...;29/05/2020 00:00;;19/11/1986;32105-513;RUA DOM PEDRO II ;419;Jardim Rosa 86;aislyn14@yahoo.com.br;26464122766;85619637476;Web Master;1;Masculino;;1;187
89; Luiz Henrique Neves;Um funcionário muito competente ...;03/06/2010 00:00;;18/02/1956;18445-495;RUA PRIMEIRO DE MAIO ;130;Jardim Rosa 87;ajudasystemonline@gmail.com;26464122766;38243774681;Web Master;1;Masculino;;1;188
90; Luiz Gustavo Carneiro;Um funcionário muito competente ...;15/10/2018 00:00;;17/04/1971;84938-788;RUA PARA ;796;Jardim Rosa 88;ajuding.01@hotmail.com;26464122766;80040888985;Web Master;1;Masculino;;1;189
91; Arthur Gabriel Melo;Um funcionário muito competente ...;22/04/2007 00:00;;18/08/1967;24049-004;RUA MARANHAO ;479;Jardim Rosa 89;akitanajura@yahoo.com.br;26464122766;50741812006;Web Master;1;Masculino;;1;190
92; Mathias Medeiros;Um funcionário muito competente ...;25/11/2010 00:00;;08/01/1973;47960-732;RUA ALAGOAS ;520;Jardim Rosa 90;akitanajura@yahoo.com.br;26464122766;58489111017;Web Master;1;Masculino;;1;191
93; Lucas Gabriel Cordeiro;Um funcionário muito competente ...;15/07/2014 00:00;;07/08/1985;54822-349;RUA BOA VISTA ;802;Jardim Rosa 91;ala-frei@hotmail.com;26464122766;69452788857;Web Master;1;Masculino;;1;192
94; Pedro Miguel Conceição;Um funcionário muito competente ...;14/08/2016 00:00;;23/05/1994;67614-824;RUA SAO LUIZ ;47;Jardim Rosa 92;alahfilho@gmail.com;26464122766;22419003647;Web Master;1;Masculino;;1;193
95; Arthur Henrique Farias;Um funcionário muito competente ...;26/09/2011 00:00;;26/10/1989;77721-617;RUA VINTE E QUATRO ;681;Jardim Rosa 93;alan_gatinho_sjc@yahoo.com.br;26464122766;78824346330;Web Master;1;Masculino;;1;194
96; Ruan Dantas;Um funcionário muito competente ...;18/03/2019 00:00;;21/04/1999;67149-601;RUA PARAIBA ;889;Jardim Rosa 94;alan_kiedis2@yahoo.com.br;26464122766;83937808870;Web Master;1;Masculino;;1;195
97; Tomás Cavalcante;Um funcionário muito competente ...;29/06/2002 00:00;;07/08/1974;39395-185;RUA 12 ;957;Jardim Rosa 95;alan_morenogato@hotmail.com;26464122766;38664905578;Web Master;1;Masculino;;1;196
98; Danilo da Rocha;Um funcionário muito competente ...;04/08/2014 00:00;;13/09/1959;23148-873;RUA O ;821;Jardim Rosa 96;alan_schmeiske@hotmail.com;26464122766;93704465517;Web Master;1;Masculino;;1;197
99; Enzo Miguel de Assis;Um funcionário muito competente ...;10/02/2017 00:00;;17/04/1997;69937-745;RUA SANTA RITA ;148;Jardim Rosa 97;alandenissouza@hotmail.com;26464122766;45136693175;Web Master;1;Masculino;;1;198
100; Luiz Otávio Braga;Um funcionário muito competente ...;07/11/2017 00:00;;06/07/1983;38050-401; RUA 11 ;875;Jardim Rosa 98;alanfarias_18@yahoo.com.br;26464122766;55266780122;Web Master;1;Masculino;;1;199
101; Ricardo Cruz;Um funcionário muito competente ...;04/10/2009 00:00;;07/10/1973;70368-556; RUA 12;525;Jardim Rosa 99;alaninha_13@hotmail.com;26464122766;87433613412;Web Master;1;Masculino;;1;200
102;Oliver Siqueira;Um funcionário muito competente ...;30/07/2019 00:00;;30/03/1976;89608-293; RUA 13;310;Jardim Rosa 100;alanjonny_rp89@hotmail.com;26464122766;20907784259;Web Master;1;Masculino;;1;201
103;Alice da Silva;Um funcionário muito competente ...;17/01/2010 00:00;;07/05/1993;30831-664; RUA 14;459;Jardim Rosa 101;alanjonny_rp89@hotmail.com;26464122766;27128106751;Web Master;1;Masculino;;1;202
104;Sophia dos Santos;Um funcionário muito competente ...;02/12/2004 00:00;;13/01/1970;68978-435; RUA 11 ;718;Jardim Rosa 102;alanmoreira12@yahoo.com.br;26464122766;52669752420;Web Master;1;Feminino;;1;203
105;Laura Pereira;Um funcionário muito competente ...;16/02/2008 00:00;;02/06/1974;70444-541; RUA 15;221;Jardim Rosa 103;Alanvitim@yahoo.com.br;26464122766;91449231309;Web Master;1;Feminino;;1;204
106;Valentina Alves;Um funcionário muito competente ...;12/01/2008 00:00;;21/02/1998;73360-522; RUA 16;219;Jardim Rosa 104;alanyseyes@msn.com;26464122766;26879182266;Web Master;1;Feminino;;1;205
107;Helena Ferreira;Um funcionário muito competente ...;01/04/2009 00:00;;06/10/1997;39173-223; RUA 17;479;Jardim Rosa 105;alanzin.mel@hotmail.com;26464122766;84024801028;Web Master;1;Feminino;;1;206
108;Isabella de Oliveira;Um funcionário muito competente ...;30/01/2003 00:00;;25/07/1959;66639-927; RUA 11 ;676;Jardim Rosa 106;alareskamartins@hotmail.com;26464122766;95870474794;Web Master;1;Feminino;;1;207
109;Manuela Silva;Um funcionário muito competente ...;14/09/2018 00:00;;31/08/1955;20739-224; RUA 18;460;Jardim Rosa 107;albinorios2@hotmail.com;26464122766;91093236041;Web Master;1;Feminino;;1;208
110;Júlia Rodrigues;Um funcionário muito competente ...;29/12/2007 00:00;;19/08/1988;30365-563; RUA 19;888;Jardim Rosa 108;albinorios2@hotmail.com;26464122766;67373853772;Web Master;1;Feminino;;1;209
111;Luiza de Souza;Um funcionário muito competente ...;24/10/2019 00:00;;19/08/2001;50346-273; RUA 20;205;Jardim Rosa 109;aldy.serg@uol.com.br;26464122766;77976251303;Web Master;1;Feminino;;1;210
112;Lívia Gomes;Um funcionário muito competente ...;15/08/2003 00:00;;26/09/1976;81453-345; RUA 11 ;689;Jardim Rosa 110;ale_amor05@hotmail.com;26464122766;90369988919;Web Master;1;Feminino;;1;211
113;Giovanna Santos;Um funcionário muito competente ...;16/10/2014 00:00;;27/10/1958;39346-858; RUA 21;39;Jardim Rosa 111;ale_amor05@hotmail.com;26464122766;57961343922;Web Master;1;Feminino;;1;212
114;Maria Luiza Oliveira;Um funcionário muito competente ...;07/11/2016 00:00;;28/10/2000;73876-260; RUA 22;850;Jardim Rosa 112;ale_amor05@hotmail.com;26464122766;56616564353;Web Master;1;Feminino;;1;213
115;Heloísa Ribeiro;Um funcionário muito competente ...;27/01/2013 00:00;;13/05/1991;12535-786; RUA 23;758;Jardim Rosa 113;ale_amor05@hotmail.com;26464122766;63960828983;Web Master;1;Feminino;;1;214
116;Maria Eduarda Martins;Um funcionário muito competente ...;16/05/2014 00:00;;08/12/1986;75871-934; RUA 11 ;586;Jardim Rosa 114;ale_zinha_hta@hotmail.com;26464122766;69785595987;Web Master;1;Feminino;;1;215
117;Maria Clara Gonçalves;Um funcionário muito competente ...;25/01/2005 00:00;;17/02/1988;78603-092; RUA 24;132;Jardim Rosa 115;aleckis_97@hotmail.com;26464122766;38001255574;Web Master;1;Feminino;;1;216
118;Lara Soares;Um funcionário muito competente ...;21/09/2019 00:00;;30/01/1967;39497-861; RUA 25;813;Jardim Rosa 116;aleckis_97@hotmail.com;26464122766;60799833576;Web Master;1;Feminino;;1;217
119;Lorena Barbosa;Um funcionário muito competente ...;01/02/2019 00:00;;18/11/1970;40389-924; RUA 26;467;Jardim Rosa 117;aleckis_97@hotmail.com;26464122766;97663666045;Web Master;1;Feminino;;1;218
120;Beatriz Lopes;Um funcionário muito competente ...;11/10/2008 00:00;;24/10/1991;36065-972; RUA 11 ;352;Jardim Rosa 118;aledickinsooon@hotmail.com;26464122766;35781017566;Web Master;1;Feminino;;1;219
121;Mariana Vieira;Um funcionário muito competente ...;08/05/2016 00:00;;17/04/1987;56090-226; RUA 27;51;Jardim Rosa 119;alef_saopaulo@yahoo.com.br;26464122766;17248913875;Web Master;1;Feminino;;1;220
